Rank,Ticker,Last_Price,Momentum_14d,Vol_Surge,Range_Pos_325,Quant_Score
455,XEL,81.82,-2.09,0.32,0.898,-0.5958
456,MCHI,57.81,-2.62,0.36,0.6326,-0.5981
457,CHTR,216.46,-15.39,0.28,0.1406,-0.5985
458,BLOK,52.71,-1.2,1.02,0.4881,-0.5995
459,CELH,44.06,-6.67,0.18,0.503,-0.6027
460,AAP,51.6,-2.18,0.49,0.5698,-0.6049
461,IEF,95.58,-1.55,0.5,0.7944,-0.613
462,BMY,58.99,-2.61,0.29,0.8144,-0.6193
463,PRU,92.71,-7.68,0.43,0.1884,-0.6203
464,CG,46.03,-4.85,0.34,0.3771,-0.628
465,LEN,95.16,-21.24,0.78,0.0381,-0.6283
466,BAC,47.2,-2.93,0.36,0.5971,-0.6375
467,SYF,63.72,-7.05,0.19,0.4919,-0.6442
468,ZBH,92.86,-7.01,0.32,0.2854,-0.6484
469,NEE,92.53,-2.5,0.28,0.9227,-0.6544
470,HYG,79.19,-1.22,0.63,0.8495,-0.6557
471,AMT,183.29,-6.9,0.37,0.2623,-0.6716
